,complaint_number,status,date_entered,house_number,house_street,zip_code,bin,community_board,special_district,complaint_category,unit,disposition_date,disposition_code,inspection_date,dobrundate,complaint_description,bis_description
2623,3438882,CLOSED,03/18/2013,2228,80 STREET,11214.0,3398057,311,,31,BKLYN,03/21/2013,I1,03/21/2013,20260427000000,Certificate of Occupancy – None/ILLEGAL/Contrary to CO,Complaint Unsubstantiated Based on Department Records
2624,5174660,CLOSED,11/20/2022,74 B,WESTERVELT AVENUE,10301.0,5001186,501,,31,ST.IS,02/17/2023,I2,02/17/2023,20260427000000,Certificate of Occupancy – None/ILLEGAL/Contrary to CO,No Violation Warranted for Complaint at Time of Inspection
2625,3428467,CLOSED,11/03/2012,2863,WEST 35 STREET,11224.0,3255520,313,,30,ERT,11/05/2012,A1,11/03/2012,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,Buildings Violation(s) Served
2626,2231814,CLOSED,08/24/2016,337,EAST 146 STREET,10451.0,2000883,201,,71,SPOPS,09/01/2016,A8,08/30/2016,20260427000000,SRO: Illegal Work/No Permit/Change in Occupancy Use +,OATH Violation Served
2627,3035352,CLOSED,05/26/1994,451,7 STREET,11215.0,3021754,306,,05,BKLYN,06/22/1994,B1,06/15/1994,20260427000000,Permit – None (Building/PA/Demo etc.),Buildings Violation(s) Prepared and Attempt to Serve will be Made
2628,4727168,CLOSED,03/28/2018,63-10,108 STREET,11375.0,4051384,406,,23,SCFLD,04/04/2018,I2,04/03/2018,20260427000000,Sidewalk Shed/Supported Scaffold/Inadequate/Defect/NONE/NO PMT/NO CERT,No Violation Warranted for Complaint at Time of Inspection
2629,4486782,CLOSED,07/05/2011,89-13,86 ROAD,11421.0,4182172,409,,45,QNS.,04/13/2012,A8,04/12/2012,20260427000000,Illegal Conversion +,OATH Violation Served
2630,1185651,CLOSED,02/07/2007,27,WEST   72 STREET,10023.0,1087511,107,,83,MAN.,02/17/2007,I2,02/16/2007,20260427000000,Construction: Contrary/Beyond Approved Plans/Permits +,No Violation Warranted for Complaint at Time of Inspection
2631,4404151,CLOSED,06/15/2009,3-28,125 STREET,11356.0,4537208,407,,83,QNS.,07/15/2009,H1,07/10/2009,20260427000000,Construction: Contrary/Beyond Approved Plans/Permits +,Please See Complaint Number
2632,4264931,CLOSED,05/18/2006,38-59,9 STREET,11101.0,4436837,401,,73,ERT,03/04/2013,A1,05/17/2006,20260427000000,Failure to Maintain,Buildings Violation(s) Served
2633,4809386,CLOSED,04/16/2020,78-42,82 STREET,11385.0,4093654,405,,30,ERT,10/06/2020,Y2,10/06/2020,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,Vacate Order Fully Rescinded
2634,4411136,CLOSED,08/10/2009,151-83,24 ROAD,11357.0,4107128,407,,55,QNS.,08/18/2009,I2,08/17/2009,20260427000000,Zoning: Non-Conforming,No Violation Warranted for Complaint at Time of Inspection
2635,4635565,CLOSED,10/30/2015,89-11,63 DRIVE,11374.0,4073168,406,,63,ELEVR,01/08/2016,H1,12/30/2015,20260427000000,Elevator: Defective/Inoperative,Please See Complaint Number
