"complaint_number","status","date_entered","house_number","house_street","zip_code","bin","community_board","special_district","complaint_category","unit","disposition_date","disposition_code","inspection_date","dobrundate"
"4424189","CLOSED","11/07/2009","134-14","57 AVENUE","11355","4139156","407",,"45","QNS.","09/03/2010","A8","08/06/2010","20260427000000"
"5004732","CLOSED","06/22/1990","532","ROCKAWAY ST",,"5095721","5",,"73","ST.IS","06/28/1990","I2","06/27/1990","20260427000000"
"3812443","CLOSED","09/02/2021","985","ST JOHNS PLACE","11213","3032002","308",,"1U","SPOPS","09/02/2021","Y1","09/02/2021","20260427000000"
"5028478","CLOSED","11/20/2000","719","RATHBUN AVENUE","10312","5083668","503",,"45","ST.IS","12/20/2000","C2","12/18/2000","20260427000000"
"4581336","CLOSED","03/16/2014","95-57","114 STREET","11419","4198232","409",,"85","QNS.","03/18/2014","I1","03/18/2014","20260427000000"
"3645425","CLOSED","04/10/2018","372","MONTGOMERY STREET","11225","3034437","309",,"65","PLUMB","04/12/2018","C2","04/12/2018","20260427000000"
"4850302","CLOSED","07/01/2021","34-48","LINDEN PLACE","11354","4112024","407",,"05","QNS.","07/02/2021","H1","07/02/2021","20260427000000"
"2228806","CLOSED","06/27/2016","339","EAST 241 STREET","10470","2019610","212",,"59","ELCTR","06/28/2016","A8","06/27/2016","20260427000000"
"3898606","CLOSED","03/27/2023","336","KNICKERBOCKER AVENUE","11237","3073572","304",,"7J","RTEU","03/27/2023","I2","03/27/2023","20260427000000"
"3078901","CLOSED","05/11/2000","2663","EAST 11 STREET","11235","3204854","315",,"11","BKLYN","05/12/2000","I2","05/12/2000","20260427000000"
"3435066","CLOSED","01/28/2013","39","AUBURN PLACE","11205","3251647","302",,"63","ELEVR","02/05/2013","I2","02/05/2013","20260427000000"
"3441684","CLOSED","04/17/2013","119","FT GREENE PLACE","11217","3059245","302",,"05","BKLYN","06/28/2013","I2","06/27/2013","20260427000000"
"4607288","CLOSED","12/16/2014","81-30","COMMONWEALTH BOULEVARD","11426","4174593","413",,"1Z","EXEC","01/30/2015","A8","01/29/2015","20260427000000"
"1338070","CLOSED","11/26/2012","136","CROSBY STREET","10012","1007946","102",,"37","ERT","11/27/2012","I2","11/26/2012","20260427000000"
"2014166","CLOSED","08/03/1994","1715","LONGFELLOW AVENUE","10460","2010885","203",,"63","ELEVR","04/08/1997","J2","03/13/1996","20260427000000"
"4018112","CLOSED","04/11/1991","911","SHAD CREEK ROAD","11693","4296801","414",,"05","QNS.","08/16/1991","B1","08/01/1991","20260427000000"
"3919008","CLOSED","07/18/2023","1382","WEST 7 STREET","11204","3173267","311",,"09","BKLYN","08/08/2023","I2","08/07/2023","20260427000000"
"2211063","CLOSED","05/04/2015","818","EAST 223 STREET","10466","2063751","212",,"1Z","EXEC","05/06/2015","I2","05/05/2015","20260427000000"
"4683875","CLOSED","03/04/2017","64-21","PALMETTO STREET","11385","4087769","405",,"05","QNS.","07/18/2017","C2","07/17/2017","20260427000000"
"1334721","CLOSED","10/01/2012","1887","AMSTERDAM AVENUE","10032","1061653","109",,"37","MAN.","10/01/2012","I2","10/01/2012","20260427000000"
"3694402","CLOSED","04/03/2019","938","PACIFIC STREET","11238","3027708","308",,"05","BKLYN","04/03/2019","I1","04/03/2019","20260427000000"
"3232860","CLOSED","07/23/2007","465","OCEAN PARKWAY","11218","3126838","312",,"63","ELEVR","09/05/2007","I2","09/05/2007","20260427000000"
"3869158","CLOSED","08/17/2022","8715","5 AVENUE","11209","3153766","310",,"83","CSE","08/18/2022","H1","08/18/2022","20260427000000"
"1665029","CLOSED","04/11/2024","125","BARCLAY STREET","10007","1001417","101",,"7F","CSE","04/12/2024","I2","04/11/2024","20260427000000"
"1412670","CLOSED","12/21/2015","666","WEST END AVENUE","10025","1033609","107",,"58","BOILR","01/21/2016","H1","01/21/2016","20260427000000"
"2351671","CLOSED","08/25/2022","1435","NELSON AVENUE","10452","2008753","204",,"7G","CSE","08/26/2022","I2","08/26/2022","20260427000000"
"1108069","CLOSED","05/31/2003","237","EAST  116 STREET","10029","1052602","111",,"05","MAN.","06/10/2003","A9","06/09/2003","20260427000000"
"3471613","CLOSED","03/06/2014","747","FRANKLIN AVENUE","11238","3031774","308",,"05","BKLYN","03/06/2014","I1","03/06/2014","20260427000000"
"3486668","CLOSED","07/21/2014","423","EAST 4 STREET","11218","3125437","312",,"45","BKLYN","10/27/2014","I2","10/25/2014","20260427000000"
"3973755","CLOSED","08/22/2024","1023","NEW YORK AVENUE","11203","3327776","317",,"6M","ELEVR","08/28/2024","I2","08/28/2024","20260427000000"
"3818196","CLOSED","10/19/2021","275","PROSPECT PLACE","11238","3028525","308",,"7J","RTEU","10/19/2021","I2","10/19/2021","20260427000000"
"2421291","CLOSED","07/28/2025","2435","PROSPECT AVENUE","10458","2012888","206",,"2F","ERT","07/28/2025","N1","07/28/2025","20260427000000"
"1298150","CLOSED","03/01/2011","440","WEST   42 STREET","10036","1088437","104",,"01","BEST","03/01/2011","I2","03/01/2011","20260427000000"
"2002141","CLOSED","12/21/1989","3111","WESTCHESTER AVENUE","10461","2047389","210",,"29","BRONX","12/29/1989","I2","12/28/1989","20260427000000"
"2061898","CLOSED","07/30/2004","1148","CLOSE AVENUE","10472","2023719","209",,"30","BRONX","08/05/2004","A9","08/03/2004","20260427000000"
"3818255","CLOSED","10/19/2021","409","STOCKHOLM STREET","11237","3073991","304",,"09","BKLYN","01/05/2022","L2","01/05/2022","20260427000000"
"4382944","CLOSED","12/10/2008","22-42","123 STREET","11356","4463562","407",,"15","QNS.","07/27/2009","L2","07/17/2009","20260427000000"
"4670244","CLOSED","10/14/2016","89-15","138 STREET","11435","4213683","412",,"4M","BEST","09/21/2017","L2","09/21/2017","20260427000000"
"4969261","CLOSED","08/15/2024","80-47","192 STREET","11423","4156414","408",,"1U","SPOPS","11/04/2024","L2","11/04/2024","20260427000000"
"3140903","CLOSED","09/15/2004","428","EAST   31 STREET","11226","3112326","317",,"45","BEST","09/23/2004","C2","09/21/2004","20260427000000"
"4A17871","CLOSED","11/22/2025","74-22","JAMAICA AVENUE","11421","4182899","409",,"45","Q-L","04/21/2026","C2","04/21/2026","20260427000000"
"1009844","CLOSED","11/15/1990","1317","2 AVENUE","10021","1072223","108",,"05","MAN.","11/29/1990","I2","11/20/1990","20260427000000"
"1622172","CLOSED","11/08/2022","740","WEST END AVENUE","10025","1056059","107",,"23","CSE","11/12/2022","A8","11/12/2022","20260427000000"
"3810277","CLOSED","08/17/2021","328","12 STREET","11215","3023210","306",,"7F","CSE","08/17/2021","I2","08/16/2021","20260427000000"
"2030267","CLOSED","06/29/1999","3072","BUHRE AVENUE","10461","2046252","210",,"35","BRONX","11/03/1999","I2","10/27/1999","20260427000000"
"1713079","CLOSED","12/22/2025","11","AVENUE D","10009","1004369","103",,"2F","SPOPS","12/23/2025","N1","12/22/2025","20260427000000"
"3939022","CLOSED","12/13/2023","149","EAST 29 STREET","11226","3118118","317",,"53","BKLYN","03/15/2024","C2","03/14/2024","20260427000000"
"1348354","CLOSED","05/07/2013","2037","2 AVENUE","10029","1052391","111",,"31","MAN.","01/16/2014","I2","01/10/2014","20260427000000"
"3031975","CLOSED","11/12/1993","218","ATLANTIC AVENUE","11201","3002809","302",,"05","BKLYN","11/29/1993","A1","11/22/1993","20260427000000"
"1497721","CLOSED","12/20/2018","349","WEST 21 STREET","10011","1013287","104",,"85","MAN.","01/30/2019","I2","01/29/2019","20260427000000"
"3762695","CLOSED","08/01/2020","6911","SHORE ROAD","11209","3388765","310",,"6S","ELEVR","08/20/2020","A8","08/17/2020","20260427000000"
"4642932","CLOSED","01/27/2016","41-12","75 STREET","11373","4036922","404",,"45","QNS.","12/16/2016","C2","12/14/2016","20260427000000"
"1196655","CLOSED","06/19/2007","283","WEST BROADWAY","10013","1087529","101",,"05","MAN.","07/31/2007","L2","07/31/2007","20260427000000"
"4736594","CLOSED","06/15/2018","23-63","24 STREET","11105","4018771","401",,"55","QNS.","07/30/2019","A8","07/27/2019","20260427000000"
"2218951","CLOSED","11/10/2015","30","RICHMOND PLAZA","10453","2113628","205",,"4B","SEP","11/16/2015","I2","11/12/2015","20260427000000"
"1130556","CLOSED","10/16/2004","5","EAST   95 STREET","10128","1087075","108",,"04","ERT","11/22/2004","I2","11/20/2004","20260427000000"
"4211262","CLOSED","01/04/2005","98-34","63 DRIVE","11374","4431971","406",,"63","ELEVR","02/02/2005","I2","01/25/2005","20260427000000"
"4581308","CLOSED","03/16/2014","95-29","115 STREET","11419","4198298","409",,"79","ERT","03/17/2014","I1","03/17/2014","20260427000000"
"3669608","CLOSED","10/01/2018","246","HANCOCK STREET","11216","3052735","303",,"1Z","EXEC","10/01/2018","W1","09/12/2018","20260427000000"
"3029621","CLOSED","07/07/1993","411","17 STREET","11215","3016545","307",,"29","BKLYN","08/02/1993","B1","07/08/1993","20260427000000"
"2381716","CLOSED","12/10/2023","2271","WASHINGTON AVENUE","10457","2011340","206",,"58","BOILR","12/26/2023","I2","12/26/2023","20260427000000"
"1020427","CLOSED","07/30/1992","369","CANAL STREET","10013","1079556","102",,"73","MAN.","08/17/1992","B1","08/06/1992","20260427000000"
"2325530","CLOSED","10/02/2021","2300","OLINVILLE AVENUE","10467","2093350","211",,"6M","ELEVR","11/05/2021","H1","11/05/2021","20260427000000"
"3872833","CLOSED","09/08/2022","1212","LINCOLN PLACE","11213","3037289","308",,"31","BKLYN","09/22/2022","C2","09/22/2022","20260427000000"
"4265009","CLOSED","05/18/2006","240-24","42 AVENUE","11363","4168817","411",,"04","ERT","09/11/2007","I2","08/12/2006","20260427000000"
