"complaint_number","status","date_entered","house_number","house_street","zip_code","bin","community_board","special_district","complaint_category","unit","disposition_date","disposition_code","inspection_date","dobrundate"
"4982211","CLOSED","12/12/2024","107-29","129 STREET","11419","4206074","410",,"45","Q-L","07/15/2025","C4","07/15/2025","20260427000000"
"1301351","CLOSED","04/24/2011","204","WEST  121 STREET","10027","1058474","110",,"74","MAN.","08/17/2011","C2","08/15/2011","20260427000000"
"1365729","CLOSED","02/17/2014","217","HAVEN AVENUE","10033","1063453","112",,"63","ELEVR","04/23/2015","A1","11/21/2014","20260427000000"
"2234436","CLOSED","10/23/2016","30","PILOT STREET","10464","2081765","210",,"63","ELEVR","10/26/2016","H1","10/26/2016","20260427000000"
"4623824","CLOSED","07/04/2015","43-08","74 STREET","11373","4032040","404",,"71","QNS.","04/14/2016","C2","04/13/2016","20260427000000"
"4116009","CLOSED","09/28/2000","20-31","129 STREET","11356","4438006","407",,"75","SPOPS","05/07/2002","H1","05/07/2002","20260427000000"
"3A57761","CLOSED","04/16/2026","926","MOTHER GASTON BOULEVARD","11212","3430175","316",,"4S","SYE","04/17/2026","I2","04/17/2026","20260427000000"
"3279491","CLOSED","09/12/2008","8701","BAY   16 STREET","11214","3167700","311",,"74","BKLYN","09/24/2008","C2","09/23/2008","20260427000000"
"4828396","CLOSED","11/07/2020","153-25","121 AVENUE","11434","4265295","412",,"74","QNS.","02/05/2021","I2","02/05/2021","20260427000000"
"3453791","CLOSED","08/18/2013","25","BOERUM STREET","11206","3338415","301",,"74","BKLYN","07/07/2014","I2","07/02/2014","20260427000000"
"3165395","CLOSED","08/05/2005","56","SOUTH   11 STREET","11211","3059814","301",,"37","BKLYN","08/05/2005","A9","08/05/2005","20260427000000"
"1470760","CLOSED","01/24/2018","1444","3 AVENUE","10028","1047572","108",,"4L","BEST","01/31/2018","L2","01/30/2018","20260427000000"
"1142446","CLOSED","05/17/2005","250","WEST   93 STREET","10025","1087656","107",,"14","ERT","05/18/2005","I2","05/17/2005","20260427000000"
"4467229","CLOSED","12/08/2010","35-11","DITMARS BOULEVARD","11105","4016608","401",,"91","QNS.","12/08/2010","I2","12/08/2010","20260427000000"
"2094585","CLOSED","02/05/2007","287","EAST  162 STREET","10451","2001981","204",,"35","BRONX","02/09/2007","I2","02/08/2007","20260427000000"
"4151986","CLOSED","08/20/2002","85-40","56 AVENUE","11373","4065451","404",,"74","QNS.","09/30/2002","C2","09/26/2002","20260427000000"
"4708554","CLOSED","10/02/2017","107-36","120 STREET","11419","4205481","410",,"05","QNS.","10/05/2017","A8","10/04/2017","20260427000000"
"3714842","CLOSED","08/05/2019","585","QUINCY STREET","11221","3044261","303",,"5H","OBM","08/05/2019","I2","08/05/2019","20260427000000"
"4046862","CLOSED","05/25/1995","61-49","56 ROAD","11378","4060494","405",,"65","QNS.","11/21/1995","C2","10/20/1995","20260427000000"
"3A49635","CLOSED","02/20/2026","2794","MILL AVENUE","11234","3242534","318",,"6Y","OBM","03/10/2026","L2","03/10/2026","20260427000000"
"1418185","CLOSED","03/06/2016","71","LAIGHT STREET","10013","1002818","101",,"04","ERT","03/19/2016","I2","03/19/2016","20260427000000"
"1217943","CLOSED","03/09/2008","520","EAST   90 STREET","10128","1051373","108",,"23","SCFLD","03/09/2008","I2","03/02/2008","20260427000000"
"4463673","CLOSED","11/03/2010","91-10","34 AVENUE","11372","4311939","403",,"45","QNS.","12/03/2010","I2","11/24/2010","20260427000000"
"3576758","CLOSED","10/05/2016","95","MILLER AVENUE","11207","3087440","305",,"45","BKLYN","11/17/2016","A8","11/16/2016","20260427000000"
"4403112","CLOSED","06/05/2009","59-22","COOPER AVENUE","11385","4091133","405",,"45","QNS.","10/07/2009","C2","09/26/2009","20260427000000"
"4528765","CLOSED","09/27/2012","39-23","212 STREET","11361","4594880","411",,"2E","BEST","09/27/2012","P6","09/27/2012","20260427000000"
"4273268","CLOSED","08/01/2006","167-36","109 ROAD","11433","4216824","412",,"54","QNS.","08/30/2006","I2","08/22/2006","20260427000000"
"4452506","CLOSED","07/27/2010","69-48","228 STREET","11364","4163853","411",,"05","QNS.","07/27/2010","A8","04/29/2010","20260427000000"
"3779436","CLOSED","12/08/2020","80","SKILLMAN STREET","11205","3390202","303",,"1L","PLUMB","12/29/2020","C2","12/28/2020","20260427000000"
"3435657","CLOSED","02/03/2013","1542","53 STREET","11219","3130152","312",,"35","BKLYN","02/08/2013","I1","02/08/2013","20260427000000"
"5128657","CLOSED","06/29/2017","572","WEST FINGERBOARD ROAD","10305","5047413","502",,"14","EXCAV","06/30/2017","I2","06/30/2017","20260427000000"
"2255836","CLOSED","01/16/2018","2717","CRESTON AVENUE","10468","2017568","207",,"1L","PLUMB","04/25/2018","I2","04/24/2018","20260427000000"
"2140003","CLOSED","01/06/2010","3527","MICKLE AVENUE","10469","2115203","212",,"94","BRONX","11/08/2010","C2","11/05/2010","20260427000000"
"3222386","CLOSED","04/18/2007","230","SPENCER STREET","11205","3394309","303",,"86","BKLYN","04/18/2007","I2","04/18/2007","20260427000000"
"5129197","CLOSED","07/27/2017","2590","HYLAN BOULEVARD","10306","5164385","502",,"4B","SEP","08/01/2017","A1","07/28/2017","20260427000000"
"4238988","CLOSED","09/05/2005","85-02","91 AVENUE","11421","4185976","409",,"45","QNS.","11/03/2005","C2","10/21/2005","20260427000000"
"4058732","CLOSED","10/16/1996","132-04","CROSS BAY BOULEVARD","11417","4245347","410",,"05","QNS.","11/04/1996","B1","10/31/1996","20260427000000"
"1576267","CLOSED","07/09/2021","747","10 AVENUE","10019","1083800","104",,"04","ERT","07/12/2021","I2","07/12/2021","20260427000000"
"1677206","CLOSED","09/10/2024","110","EAST 1 STREET","10009","1005755","103",,"7J","RTEU","09/10/2024","I2","09/10/2024","20260427000000"
"4164607","CLOSED","04/17/2003","103-41","135 STREET","11419","4204950","410",,"05","QNS.","05/06/2003","A9","05/05/2003","20260427000000"
"4041696","CLOSED","08/17/1994","99-53","164 AVENUE","11414","4296424","410",,"66","QNS.","02/06/1995","K1","01/03/1995","20260427000000"
"3542202","CLOSED","12/29/2015","615","VAN BUREN STREET","11221","3074664","304",,"90","OBM","12/30/2015","A8","12/29/2015","20260427000000"
"2154871","CLOSED","01/19/2011","45-72","MANHATTAN COLLEGE PARKWAY","10471","2084017","208",,"05","BRONX","02/14/2011","I2","02/09/2011","20260427000000"
"4177605","CLOSED","10/20/2003","106-11","103 AVENUE","11417","4198546","409",,"45","QNS.","06/28/2004","C2","06/22/2004","20260427000000"
"5055558","CLOSED","02/09/2006","199","MORNING STAR ROAD","10303","5135554","501",,"05","ST.IS","02/21/2006","A9","02/17/2006","20260427000000"
"4234502","CLOSED","08/05/2005","104-45","111 STREET","11419","4202514","410",,"45","QNS.","08/17/2005","H1","08/12/2005","20260427000000"
"3940935","CLOSED","12/26/2023","1936","PROSPECT PLACE","11233","3039370","316",,"73","ERT","12/27/2023","A8","12/27/2023","20260427000000"
"1427696","CLOSED","07/05/2016","208","WEST 23 STREET","10011","1014129","104",,"09","MAN.","07/14/2016","I2","07/13/2016","20260427000000"
"4079004","CLOSED","05/22/1998","61-58","56 ROAD","11378","4060568","405",,"45","QNS.","06/08/1998","A9","06/05/1998","20260427000000"
"3238736","CLOSED","09/13/2007","301","TOMPKINS AVENUE","11216","3050715","303",,"45","BKLYN","12/12/2007","I2","12/11/2007","20260427000000"
"3965577","CLOSED","06/20/2024","177","GREENPOINT AVENUE","11222","3322599","301",,"91","CSE","06/21/2024","I2","06/21/2024","20260427000000"
"1342827","CLOSED","02/07/2013","86","BEDFORD STREET","10014","1083531","102",,"83","MAN.","02/12/2013","I2","02/11/2013","20260427000000"
"4996889","CLOSED","05/20/2025","179-45","144 AVENUE","11434","4281024","412",,"05","OBM","06/16/2025","A8","06/16/2025","20260427000000"
"1310136","CLOSED","09/24/2011","224","EAST   59 STREET","10022","1038638","106",,"4A","SPOPS","10/07/2013","H1","10/07/2013","20260427000000"
"3207124","CLOSED","10/30/2006","1907","AVENUE U","11229","3198279","315",,"59","ELCTR","11/08/2006","A1","10/30/2006","20260427000000"
"3166585","CLOSED","08/17/2005","1674","EAST    3 STREET","11230","3174822","312",,"30","BKLYN","08/23/2005","H1","08/18/2005","20260427000000"
"3178895","CLOSED","12/28/2005","216","NORTH    8 STREET","11211","3324843","301",,"73","BKLYN","12/28/2005","A9","12/28/2005","20260427000000"
"4091209","CLOSED","04/23/1999","32-39","46 STREET","11103","4013092","401",,"45","QNS.","04/29/1999","H1","04/23/1999","20260427000000"
"1066381","CLOSED","04/29/1999","199-203","LAFAYETTE STREET","10012","1066733","102",,"49","MAN.","12/07/1999","A1","06/04/1999","20260427000000"
"4054723","CLOSED","05/29/1996","115-56","122 STREET","11420","4252050","410",,"33","QNS.","07/21/1997","B1","06/25/1997","20260427000000"
"4422296","CLOSED","10/27/2009","30-27","146 STREET","11354","4108527","407",,"45","QNS.","11/06/2009","I2","11/02/2009","20260427000000"
"4976057","CLOSED","10/22/2024","35-46","JUNCTION BOULEVARD","11368","4827233","403",,"54","QNS.","11/26/2024","I2","11/26/2024","20260427000000"
"3174672","CLOSED","11/03/2005","3085","BRIGHTON   13 STREET","11235","3245643","313",,"66","BKLYN","11/09/2005","A9","11/09/2005","20260427000000"
"2249973","CLOSED","09/22/2017","718","REVERE AVENUE","10465","2079958","210",,"66","PLUMB","10/25/2017","I2","10/24/2017","20260427000000"
"1392910","CLOSED","04/07/2015","155","EAST 79 STREET","10075","1090560","108",,"4F","SCFLD","04/07/2015","A8","04/06/2015","20260427000000"
"4313587","CLOSED","07/12/2007","123-16","LIBERTY AVENUE","11419","4204460","410",,"05","QNS.","07/16/2007","I2","07/14/2007","20260427000000"
"3A31822","CLOSED","10/03/2025","5601","CHURCH AVENUE","11203","3102383","317",,"8A","CSC","10/06/2025","A8","10/03/2025","20260427000000"
"3688230","CLOSED","02/26/2019","116","AVENUE S","11223","3189917","311",,"37","ERT","02/28/2019","A8","02/28/2019","20260427000000"
"4250065","CLOSED","12/07/2005","98-40","57 AVENUE","11368","4047323","404",,"80","ELEVR","12/16/2005","A1","12/09/2005","20260427000000"
"2235701","CLOSED","11/22/2016","1630","UNDERCLIFF AVENUE","10453","2008878","205",,"63","ELEVR","12/12/2016","A8","12/09/2016","20260427000000"
"3074729","CLOSED","10/13/1999","331","ROCKAWAY AVE","11212","3326573","316",,"43","BKLYN","03/13/2000","B1","11/18/1999","20260427000000"
"5137495","CLOSED","09/29/2018","45","RUSSEK DRIVE","10312","5078932","503",,"55","ST.IS","01/18/2019","I2","01/18/2019","20260427000000"
"4648610","CLOSED","04/01/2016","132-42GAR","217 STREET","11413","4513027","413",,"2E","BEST","04/01/2016","P6","04/01/2016","20260427000000"
"2284007","CLOSED","06/29/2019","4136","WILDER AVENUE","10466","2069208","212",,"45","Q-L","09/10/2019","I2","09/09/2019","20260427000000"
"2111048","CLOSED","03/07/2008","1926","CROSS BRONX EXPRESSWAY","10472","2025966","209",,"29","BRONX","03/14/2008","I2","03/13/2008","20260427000000"
"4959841","CLOSED","05/18/2024","26-38","JACKSON AVENUE","11101","4620885","402",,"7F","CSE","05/18/2024","I2","05/18/2024","20260427000000"
"3810886","CLOSED","08/21/2021","279","MOTHER GASTON BOULEVARD","11212","3083598","316",,"85","BKLYN","09/28/2021","A8","09/28/2021","20260427000000"
"5192000","CLOSED","08/10/2025","520","CASTLETON AVENUE","10301","5095808","501",,"45","Q-L","03/30/2026","C2","03/26/2026","20260427000000"
"2037283","CLOSED","01/04/2001","751","EAST  213 STREET","10467","2093552","212",,"30","BRONX","01/04/2001","A9","01/04/2001","20260427000000"
"3026931","CLOSED","01/05/1993","621","OCEAN AVENUE","11226","3117149","314",,"41","BKLYN","01/06/1993","F8","01/05/1993","20260427000000"
"1016122","CLOSED","10/16/1991","1660","3 AVENUE","10128","1078545","108",,"53","MAN.","01/02/1992","B1","12/24/1991","20260427000000"
"4435393","CLOSED","02/25/2010","218-51","HEMPSTEAD AVENUE","11429","4230789","413",,"73","QNS.","03/24/2010","L2","03/24/2010","20260427000000"
"1592284","CLOSED","02/05/2022","2070","7 AVENUE","10027","1088475","110",,"30","ERT","02/05/2022","I2","02/05/2022","20260427000000"
"4132461","CLOSED","08/07/2001","87-42","LEFFERTS BOULEVARD","11418","4195921","409",,"55","QNS.","09/14/2001","I2","09/11/2001","20260427000000"
"4634207","CLOSED","10/17/2015","24-39","28 STREET","11102","4017460","401",,"05","QNS.","09/30/2016","I2","09/28/2016","20260427000000"
"2126575","CLOSED","02/17/2009","1845","HOBART AVENUE","10461","2046591","210",,"30","BRONX","02/27/2009","C2","02/24/2009","20260427000000"
"4115357","CLOSED","09/18/2000","25-40","30 ROAD","11102","4006948","401",,"63","ELEVR","11/29/2000","I2","10/05/2000","20260427000000"
"4161090","CLOSED","02/13/2003","37-11","73 STREET","11372","4029795","403",,"49","SPOPS","04/18/2003","I2","03/10/2003","20260427000000"
"4364026","CLOSED","07/24/2008","7027","OLCOTT STREET","11375","4077131","406",,"74","QNS.","08/26/2008","I2","08/18/2008","20260427000000"
"4591824","CLOSED","06/23/2014","89-59","212 STREET","11427","4227587","413",,"45","QNS.","08/20/2014","C4","08/12/2014","20260427000000"
"3559456","CLOSED","05/23/2016","640","PARKSIDE AVENUE","11226","3116055","309",,"65","PLUMB","05/25/2016","A8","05/24/2016","20260427000000"
"3865378","CLOSED","07/22/2022","575","GRAND STREET","11211","3069341","301",,"23","CSE","07/23/2022","A8","07/23/2022","20260427000000"
"4757638","CLOSED","12/14/2018","45-02","QUEENS BOULEVARD","11104","4001960","402",,"73","BEST","03/28/2019","A1","03/28/2019","20260427000000"
"3582657","CLOSED","11/23/2016","524","DECATUR STREET","11233","3040503","303",,"29","BKLYN","12/07/2016","A6","12/03/2016","20260427000000"
"4190342","CLOSED","04/05/2004","109-34","113 STREET","11420","4249179","410",,"59","ELCTR","04/06/2004","I1","04/06/2004","20260427000000"
"3943034","CLOSED","01/10/2024","1658","CARROLL STREET","11213","3038116","309",,"05","SPOPS","01/23/2024","I2","01/23/2024","20260427000000"
"3424863","CLOSED","09/21/2012","46","HANCOCK STREET","11216","3057452","303",,"37","ERT","08/02/2016","Y2","08/02/2016","20260427000000"
"3926945","CLOSED","09/14/2023","213","ESSEX STREET","11208","3428836","305",,"73","BKLYN","09/14/2023","A1","09/14/2023","20260427000000"
"2319399","CLOSED","06/18/2021","2135","WALLACE AVENUE","10462","2048823","211",,"6S","ELEVR","08/18/2021","I2","08/17/2021","20260427000000"
"4715973","CLOSED","12/07/2017","190-25","WOODHULL AVENUE","11423","4529897","412",,"63","ELEVR","12/14/2017","H1","12/14/2017","20260427000000"
"4928183","CLOSED","06/14/2023","216-23","136 ROAD","11413","4280038","413",,"7R","SPOPS","06/21/2023","AF","06/21/2023","20260427000000"
"4386746","CLOSED","01/15/2009","91-21","195 STREET","11423","4231533","412",,"58","BOILR","02/12/2009","A8","02/10/2009","20260427000000"
"3721887","CLOSED","09/17/2019","124","JAVA STREET","11222","3064559","301",,"5H","OBM","09/23/2019","I2","09/23/2019","20260427000000"
"1008933","CLOSED","09/17/1990","145","EAST 35 STREET","10016","1018905","106",,"05","MAN.","10/04/1990","I2","09/27/1990","20260427000000"
"1611478","CLOSED","06/08/2022","256","WEST 116 STREET","10026","1055249","110",,"1X","MAN.","12/05/2022","L2","12/05/2022","20260427000000"
"3324833","CLOSED","11/19/2009","100","ROGERS AVENUE","11216","3031470","308",,"66","BKLYN","11/30/2009","A8","11/27/2009","20260427000000"
"3954319","CLOSED","04/02/2024","260","65 STREET","11220","3144193","310",,"7K","RTEU","04/12/2024","I2","04/12/2024","20260427000000"
"4433801","CLOSED","02/08/2010","64-56","BOOTH STREET","11374","4072537","406",,"03","QNS.","02/10/2010","I2","02/09/2010","20260427000000"
"5042119","CLOSED","11/12/2003","420","CLOVE ROAD","10310","5133343","501",,"31","ST.IS","12/30/2003","A9","12/29/2003","20260427000000"
"4824502","CLOSED","09/28/2020","31-05","21 STREET","11106","4006365","401",,"8A","CSC","09/28/2020","A8","09/28/2020","20260427000000"
"3975948","CLOSED","09/09/2024","1907","AVENUE U","11229","3198279","315",,"10","ERT","09/09/2024","I2","09/09/2024","20260427000000"
"1355661","CLOSED","09/04/2013","157","EAST 2 STREET","10009","1004947","103",,"53","MAN.","04/28/2014","I2","04/27/2014","20260427000000"
"5016750","CLOSED","04/27/1995","410","GARRETSON AVE",,"5102101","5",,"55","ST.IS","05/11/1995","B1","05/10/1995","20260427000000"
"4621199","CLOSED","06/09/2015","25-84","STEINWAY STREET","11103","4010298","401",,"49","SPOPS","09/28/2015","A8","09/11/2015","20260427000000"
"3599129","CLOSED","04/19/2017","468","12 STREET","11215","3026405","306",,"59","ELCTR","04/24/2017","A8","04/24/2017","20260427000000"
"1269310","CLOSED","11/06/2009","893","10 AVENUE","10019","1027085","104",,"91","C & D","11/06/2009","I2","11/06/2009","20260427000000"
"4995981","CLOSED","05/12/2025","56-26","MASPETH AVENUE","11378","4059764","405","IBZ","1X","QNS.","05/13/2025","I3","05/13/2025","20260427000000"
"4891165","CLOSED","05/28/2022","2-33","50 AVENUE","11101","4436571","402",,"05","QNS.","05/31/2022","I1","05/31/2022","20260427000000"
"1251541","CLOSED","03/18/2009","217","EAST   84 STREET","10028","1048729","108",,"73","MAN.","03/19/2009","A8","03/18/2009","20260427000000"
"3578039","CLOSED","10/15/2016","872","LORIMER STREET","11222","3066722","301",,"05","BKLYN","02/24/2017","C2","02/22/2017","20260427000000"
"4909462","CLOSED","12/07/2022","65-10","60 PLACE","11385","4860433","405",,"86","CSE","12/08/2022","I2","12/08/2022","20260427000000"
"2169972","CLOSED","02/28/2012","1211","JEROME AVENUE","10452","2003083","204",,"59","ELCTR","02/28/2012","A1","02/17/2012","20260427000000"
"2213716","CLOSED","07/07/2015","783","BECK STREET","10455","2005569","202",,"63","ELEVR","01/05/2016","A8","01/04/2016","20260427000000"
"3A53377","ACTIVE","03/19/2026","5104","8 AVENUE","11220","3013763","307",,"31","BKLYN",,,,"20260427000000"
"4101491","CLOSED","12/16/1999","1423","PINSON STREET","11691","4299435","414",,"73","QNS.","01/11/2000","A9","01/10/2000","20260427000000"
"3609163","CLOSED","07/05/2017","350","LEFFERTS AVENUE","11225","3035400","309",,"63","ELEVR","07/20/2017","A8","07/19/2017","20260427000000"
"3134168","CLOSED","06/20/2004","1615","FULTON STREET","11213","3047699","303",,"56","CENTR","06/21/2004","G6","06/20/2004","20260427000000"
"1361560","CLOSED","12/04/2013","254","WEST 73 STREET","10023","1030536","107",,"83","MAN.","12/16/2013","I2","12/14/2013","20260427000000"
"1127299","CLOSED","08/11/2004","120","WEST  121 STREET","10027","1057640","110",,"05","MAN.","09/27/2004","I2","08/25/2004","20260427000000"
"2154370","CLOSED","01/04/2011","750","GRAND CONCOURSE","10451","2002784","204",,"71","BRONX","06/22/2011","H1","06/15/2011","20260427000000"
"3615593","CLOSED","08/18/2017","179","ROGERS AVENUE","11216","3032216","308",,"10","ERT","08/20/2017","C2","08/20/2017","20260427000000"
"3919702","CLOSED","07/23/2023","25","TENNIS COURT","11226","3117101","314",,"6M","ELEVR","08/10/2023","H1","08/10/2023","20260427000000"
"4113039","CLOSED","08/08/2000","25-28","82 STREET","11370","4023279","403",,"45","QNS.","08/17/2000","A9","08/12/2000","20260427000000"
"1282952","CLOSED","06/03/2010","405","EAST   73 STREET","10021","1076319","108",,"04","ERT","06/21/2010","I2","06/20/2010","20260427000000"
"1055530","CLOSED","02/24/1998","1356","3 AVENUE","10021","1082188","108",,"05","MAN.","03/04/1998","I2","02/26/1998","20260427000000"
"2154003","CLOSED","12/20/2010","1881","GRAND CONCOURSE","10453","2007631","205",,"63","ELEVR","06/21/2011","A1","04/06/2011","20260427000000"
"4963497","CLOSED","06/20/2024","69-41","CALAMUS AVENUE","11377","4056504","402",,"83","CSE","08/29/2024","AF","08/29/2024","20260427000000"
"5052249","CLOSED","07/28/2005","351","DEMOREST AVENUE","10314","5012531","501",,"15","ST.IS","07/29/2005","H1","07/29/2005","20260427000000"
"4227588","CLOSED","06/15/2005","89-01","187 PLACE","11423","4212702","412",,"45","QNS.","07/07/2005","I2","06/27/2005","20260427000000"
"3249883","CLOSED","01/07/2008","778","BERGEN STREET","11238","3028245","308",,"59","ELCTR","01/28/2008","C2","01/22/2008","20260427000000"
"3409151","CLOSED","04/17/2012","571","WASHINGTON AVENUE","11238","3027497","308",,"30","ERT","05/24/2012","Y2","05/07/2012","20260427000000"
"4779690","CLOSED","06/25/2019","36-02","34 AVENUE","11106","4611484","401",,"91","BEST","06/28/2019","A8","06/25/2019","20260427000000"
"3964444","CLOSED","06/11/2024","399","DE WITT AVENUE","11207","3390622","305",,"71","BKLYN","11/18/2024","H1","11/16/2024","20260427000000"
"1370940","CLOSED","05/06/2014","260","LENOX AVENUE","10027","1053414","110",,"73","MAN.","05/08/2014","A8","05/07/2014","20260427000000"
"3567317","CLOSED","07/22/2016","306","TOMPKINS AVENUE","11216","3050960","303",,"05","BKLYN","11/23/2016","A3","11/21/2016","20260427000000"
"1532699","CLOSED","01/04/2020","299","PEARL STREET","10038","1083356","101",,"04","ERT","01/26/2020","I2","01/25/2020","20260427000000"
"4413381","CLOSED","08/27/2009","55-05","WOODSIDE AVENUE","11377","4028174","402",,"63","ELEVR","01/07/2010","I2","01/06/2010","20260427000000"
"2047839","CLOSED","09/04/2002","2115","WASHINGTON AVENUE","10457","2011294","206",,"63","ELEVR","12/03/2002","A1","11/15/2002","20260427000000"
"4791593","CLOSED","10/02/2019","907","HICKSVILLE ROAD","11691","4625753","414",,"7G","CSE","10/02/2019","I2","10/02/2019","20260427000000"
"5020204","CLOSED","02/19/1997","393","BURGHER AVENUE","10305","5049772","502",,"05","ST.IS","03/19/1997","C2","03/03/1997","20260427000000"
"4334396","CLOSED","12/20/2007","111-12","39 AVENUE","11368","4044936","403",,"05","QNS.","01/08/2008","H1","12/31/2007","20260427000000"
"2270311","CLOSED","10/19/2018","683","EAST 140 STREET","10454","2003821","201",,"6S","ELEVR","10/29/2018","H1","10/29/2018","20260427000000"
"3A50250","ACTIVE","02/26/2026","343","GOLD STREET","11201","3393888","302",,"1X","BKLYN",,,,"20260427000000"
"3825707","CLOSED","12/20/2021","1364","EAST 52 STREET","11234","3216459","318",,"05","EXEC","10/12/2023","AB","10/12/2023","20260427000000"
"4017459","CLOSED","03/08/1991","60-70","PUTNAM AVENUE","11385","4085018","405",,"05","QNS.","06/19/1991","C2","04/29/1991","20260427000000"
"3815010","CLOSED","09/22/2021","31","LEONARD STREET","11206","3327972","301",,"30","CSE","09/23/2021","I2","09/23/2021","20260427000000"
"4020777","CLOSED","08/07/1991","29-27","166 STREET","11358","4111403","407",,"48","QNS.","03/04/1992","C2","02/27/1992","20260427000000"
"3124432","CLOSED","01/08/2004","35","CROWN STREET","11225","3029716","309",,"04","ERT","01/29/2004","I2","01/28/2004","20260427000000"
"2111027","CLOSED","03/07/2008","1775","WALTON AVENUE","10453","2008216","205",,"23","SCFLD","03/07/2008","I2","03/05/2008","20260427000000"
"4738159","CLOSED","06/28/2018","194-12","DUNTON AVENUE","11423","4615813","408",,"86","QNS.","07/02/2018","I2","06/29/2018","20260427000000"
"3221335","CLOSED","04/07/2007","463","KOSCIUSZKO STREET","11221","3043255","303",,"05","BKLYN","10/31/2007","I2","10/26/2007","20260427000000"
"3628405","CLOSED","11/21/2017","2245","WEST 1 STREET","11223","3193673","315",,"05","BKLYN","11/22/2017","H1","11/22/2017","20260427000000"
"1299369","CLOSED","03/19/2011","2090","AMSTERDAM AVENUE","10032","1062907","112",,"05","MAN.","03/19/2011","A8","03/05/2011","20260427000000"
"2369769","CLOSED","06/21/2023","1014","GERARD AVENUE","10452","2002936","204",,"58","BOILR","06/21/2023","A8","06/21/2023","20260427000000"
"4409888","CLOSED","07/30/2009","72-53","66 STREET","11385","4090166","405",,"83","QNS.","08/04/2009","A9","07/31/2009","20260427000000"
"4068924","CLOSED","08/15/1997","52-25","VAN DAM STREET","11101","4430593","402",,"45","QNS.","07/16/1999","A9","06/29/1999","20260427000000"
"3004233","CLOSED","08/09/1989","123","PLYMOUTH STREET","11201","3329396","302",,"18","BKLYN","08/21/1989","I1","08/17/1989","20260427000000"
"2211294","CLOSED","05/10/2015","2757","CLAFLIN AVENUE","10468","2015368","208",,"63","ELEVR","09/21/2015","H1","09/18/2015","20260427000000"
"4490916","CLOSED","08/11/2011","37-14","32 STREET","11101","4004536","401",,"21","BEST","09/29/2011","L2","09/29/2011","20260427000000"
"3656088","CLOSED","07/02/2018","321","WOODBINE STREET","11237","3076861","304",,"05","BKLYN","07/02/2018","I1","07/02/2018","20260427000000"
"1469714","CLOSED","01/11/2018","14","MORTON STREET","10014","1009915","102",,"58","BOILR","01/16/2018","A8","01/16/2018","20260427000000"
"1180385","CLOSED","11/21/2006","88","LEONARD STREET","10013","1087082","101",,"67","BEST","11/29/2006","I2","11/27/2006","20260427000000"
"1145332","CLOSED","06/29/2005","258","ST NICHOLAS AVENUE","10027","1059274","110",,"14","ERT","06/30/2005","I2","06/30/2005","20260427000000"
"5181061","CLOSED","11/27/2023","1","RICHMOND TERRACE","10301","5799501","501",,"59","ELCTR","11/28/2023","K1","11/28/2023","20260427000000"
"4387570","CLOSED","01/24/2009","535","48 AVENUE","11101","4000091","402",,"29","QNS.","02/05/2009","A8","02/02/2009","20260427000000"
"3055260","CLOSED","05/08/1997","12","PIERREPONT STREET","11201","3001948","302",,"05","BKLYN","05/30/1997","A1","05/16/1997","20260427000000"
"3916250","CLOSED","06/27/2023","404","EAST 49 STREET","11203","3102049","317",,"86","CSE","06/27/2023","I2","06/27/2023","20260427000000"
"3009756","CLOSED","06/05/1990","1254","44 STREET","11219","3136432","312",,"35","BKLYN","07/12/1990","B1","06/20/1990","20260427000000"
"3834462","CLOSED","03/07/2022","454","WILLOUGHBY AVENUE","11206","3049036","303",,"86","BKLYN","03/08/2022","C2","03/08/2022","20260427000000"
"3337174","CLOSED","03/30/2010","624","PACIFIC STREET","11217","3027592","306",,"2E","BEST","03/30/2010","P6","03/30/2010","20260427000000"
"1579028","CLOSED","08/09/2021","2023","5 AVENUE","10035","1054026","111",,"8A","CSC","08/17/2021","L2","08/17/2021","20260427000000"
"3057355","CLOSED","07/25/1997","1405","EAST 7 STREET","11230","3173021","312",,"03","BKLYN","07/25/1997","I2","07/25/1997","20260427000000"
"3761919","CLOSED","07/28/2020","124","DEKALB AVENUE","11201","3058711","302",,"6Y","OBM","07/29/2020","I3","07/24/2020","20260427000000"
"3217105","CLOSED","02/27/2007","422","AVENUE O","11230","3174909","312",,"30","BKLYN","02/27/2007","I2","02/27/2007","20260427000000"
"3743165","CLOSED","02/18/2020","570","HAMILTON AVENUE","11232","3336715","307","IBZ","2G","SPOPS","02/18/2020","A8","01/31/2020","20260427000000"
"4240631","CLOSED","09/16/2005","131-32","SANFORD AVENUE","11355","4115006","407",,"09","QNS.","10/26/2005","A9","10/24/2005","20260427000000"
"2323966","CLOSED","09/08/2021","1146","LELAND AVENUE","10472","2024439","209",,"2B","BRONX","09/10/2021","C2","09/10/2021","20260427000000"
"3074206","CLOSED","09/20/1999","2270","ATLANTIC AVENUE","11233","3038601","316",,"43","BKLYN","10/04/1999","A9","09/29/1999","20260427000000"
"4418529","CLOSED","10/06/2009","90-17","69 AVENUE","11375","4076073","406",,"59","ELCTR","11/30/2009","I2","11/23/2009","20260427000000"
"1516503","CLOSED","07/19/2019","2033","1 AVENUE","10029","1052720","111",,"05","MAN.","07/19/2019","I2","07/19/2019","20260427000000"
